 Commenter , Information Requested , Type of Information Needed 
 --- , --- , --- 
 Angela L Rasmussen , Data on the effectiveness of vaccination in achieving herd immunity compared to natural infection ," Scientific evidence, research data "
 Angela L Rasmussen , Information on the basic reproduction number (R0) of SARS-CoV-2 and its impact on herd immunity threshold ," Epidemiological data, mathematical modeling "
 Angela L Rasmussen , Studies on the immune responses induced by SARS-CoV-2 infection versus vaccination ," Immunological data, comparative studies "
 Angela L Rasmussen , Data on the safety and efficacy of COVID-19 vaccines in preventing widespread infectious diseases ," Clinical trial data, vaccine efficacy studies "
 Angela L Rasmussen , Information on the moral and scientific implications of attempting to reach herd immunity through natural infection versus vaccination ," Ethical considerations, public health policy analysis "
 --- , --- , --- 
" (Not specified, assumed to be a public commenter) ", A four-week public comment period before the upcoming committee meeting , Procedural/Regulatory 
" (Not specified, assumed to be a public commenter) ", Universal access to updated COVID vaccines for individuals of all ages , Policy/Regulatory 
" (Not specified, assumed to be a public commenter) ", Full coverage of COVID vaccines by public funds or insurance at a regular interval of at least every six months , Policy/Regulatory 
" (Not specified, assumed to be a public commenter) ", Recommendations for vaccine schedules that address waning efficacy and emerging new SARS-CoV-2 strains , Scientific/Technical 
" (Not specified, assumed to be a public commenter) ", FDA guidance on ensuring manufacturers match vaccine variants with future variants , Scientific/Technical 
" (Not specified, assumed to be a public commenter) "," Support for equitable and affordable access to updated vaccines, including programs to address financial and demographic constraints ", Policy/Regulatory 
 --- , --- , --- 
 Not specified (likely a public health advocacy group or individual) , Extended public comment period (at least 4 weeks) before FDA VRBPAC meetings , Procedural/Regulatory 
 Not specified , Universal access to updated COVID vaccines for individuals of all ages , Policy/Recommendation 
 Not specified , Full coverage of COVID vaccines by public funds or insurance at regular intervals (at least every 6 months) , Financial/Insurance 
 Not specified , Vaccine schedule that addresses waning efficacy and emerging new SARS-CoV-2 strains , Scientific/Technical 
 Not specified , Updates to all vaccine types to match emerging variants , Scientific/Technical 
 Not specified , Access to all vaccine options from all three manufacturers , Product Availability 
 Not specified ," Support for vaccine options beyond injections (e.g., liquids, pills, nasal sprays) ", Product Development 
 Not specified , Recommendations that anticipate future dominant strains and ensure manufacturer matching , Predictive/Preventive Measures 
 Not specified ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Social/Equity 
 Not specified , Revival of programs like the CDC Bridge Program to ensure no-cost access to vaccines , Programmatic/Policy 
 Not specified , Accountability from FDA Commissioner Dr. Marty Makary to prioritize public welfare over short-term financial or economic analyses , Accountability/Governance 
 --- , --- , --- 
 Not specified (public commenter) , Ensure a four-week public comment period before the FDA VRBPAC meeting , Procedural information 
 Not specified (public commenter) , Universal access to updated COVID vaccines for individuals of all ages , Policy recommendation 
 Not specified (public commenter) , Vaccines to be fully covered by public funds or insurance at a regular interval of at least every six months , Financial and insurance information 
 Not specified (public commenter) , Vaccine schedule to address waning efficacy and emergence of new SARS-CoV-2 strains , Scientific and medical information 
 Not specified (public commenter) , Updates to all vaccine types to better match emerging variants , Scientific and medical information 
 Not specified (public commenter) , Access to all vaccine options made by all three manufacturers , Product and manufacturing information 
 Not specified (public commenter) ," Support for vaccine options beyond injections (e.g., liquids, pills, or nasal sprays) ", Product and manufacturing information 
 Not specified (public commenter) , Recommendations that anticipate the next dominant strain in the next six months , Scientific and medical information 
 Not specified (public commenter) ," Equitable and affordable access to updated vaccines, addressing financial and demographic constraints ", Social and economic information 
 Not specified (public commenter) , Revival of programs like the CDC bridge program to ensure no-cost access to vaccines , Policy and programmatic information 
 Not specified (public commenter) ," Accountability from Dr. Marty Makary, commissioner of the FDA, to prioritize public welfare over short-term financial analyses ", Administrative and accountability information 
 --- , --- , --- 
 Katelyn Jetelina (Your Local Epidemiologist) ," Transparency and a scientific process in vaccine policy-making, specifically regarding Covid-19 vaccines ", Procedural/Regulatory 
 --- , --- , --- 
 Not specified , Universal access to updated COVID vaccines , Policy/Regulatory Change 
 Not specified , Vaccination recommendations for individuals of all ages , Guidelines/Recommendations 
 Not specified , Full coverage of COVID vaccines by public funds/insurance , Funding/Coverage Details 
 Not specified , Regular vaccination interval (at least every 6 months) , Scheduling/Frequency Guidelines 
 --- , --- , --- 
 Chairman Ron Johnson ," COVID-19 vaccine safety data and records, including documents related to myocarditis and other adverse events "," Specific documents, data, and communications related to COVID-19 vaccine safety and the government's response to the pandemic "
 Chairman Ron Johnson ," Records of communications between federal health officials and vaccine manufacturers, such as Pfizer and Moderna "," Communications, emails, and other correspondence between government officials and vaccine companies "
 Chairman Ron Johnson , Information on the government's awareness and response to myocarditis and other adverse events associated with COVID-19 vaccines ," Timeline of events, meeting notes, and decision-making processes related to vaccine safety and adverse events "
 Chairman Ron Johnson ," Data on vaccine adverse events, including deaths reported to VAERS "," Statistical data, queries, and analyses of vaccine adverse events, including deaths and other serious health issues "
 Chairman Ron Johnson , Documentation of the Biden administration's efforts to downplay and delay warning the public about COVID-19 vaccine risks , Evidence of deliberate attempts to withhold or obscure information about vaccine safety and adverse events 
 --- , --- , --- 
 Not specified ," Data on the consequences of limiting vaccine access to the elderly, including the impact on community immunity, transmission rates, and the risk of long COVID, hospital overwhelm, and unnecessary suffering "," Quantitative and qualitative data to support the argument against limiting vaccine access, as well as scientific evidence and expert opinions to inform public health decisions "
 --- , --- , --- 
 Dr. Joseph Sansone ," Forensic analysis of Covid injections and mRNA injections, investigation into Covid vaccine crimes, and prohibition of sale and distribution of Covid injections and mRNA injections "," Scientific, legal, and regulatory information related to Covid injections and mRNA technology "
 Karen Kingston ," Information on the composition and effects of mRNA technology, including its potential to alter human DNA and its relationship to transhumanism "," Technical and scientific information on mRNA technology, as well as its potential risks and implications for human health and society "
 --- , --- , --- 
 National Center for Health Statistics (NCHS) ," Percentage of adults who ever had Long COVID or currently have Long COVID, by various demographic characteristics (sex, age, race, Hispanic origin, family income, urbanization level) "," Epidemiological data, statistical analysis "
